FILENAME,Dataset,% DKO,% DKN,% TOT,Modal name,% Name Agreement (/Fq names),Nb diff names,H-value,Modal category,% Category Agreement,Hcat-value,Non-Normative Category,Familiarity Mean,Familiarity StDev,Visual Complexity Mean,Visual Complexity StDev,Object Agreement Mean,Object Agreement StDev,Viewpoint Agreement Mean,Viewpoint Agreement StDev,Manipulability Mean,Manipulability StDev,Score
funnel,BOSS-2014 (v.2),0.0,0.047619047619047616,0.09523809523809523,funnel,0.9722222222222222,2,0.1831220683013729,Kitchen & utensil,0.696969696969697,1.5279721499853838,,4.634146341463414,0.8293400255919041,1.5853658536585367,0.8054691103977099,4.34375,0.8273305303514508,3.375,1.408499544814245,2.7058823529411766,1.1685114012411943,0.8142
hulahoop,BOSS-2014 (v.2),0.0,0.0,0.0,Hula hoop,0.9285714285714286,3,0.4368248862161963,Gamestoy & entertainment,0.8181818181818182,0.8022243304841968,,4.666666666666667,0.7213357077339465,1.4047619047619047,0.7005058732896938,4.1875,1.0606601717798212,4.125,1.2636353087613479,4.411764705882353,1.0478736639911679,0.8127
noparkingsign,BOSS-2014 (v.2),0.0,0.0,0.0,no parking sign,0.9523809523809523,3,0.3238144752669867,Building infrastructure,0.5151515151515151,2.105101897977159,,4.738095238095238,0.5436786985838638,1.6904761904761905,0.7804968785767568,3.9375,1.0757592967370206,4.03125,1.2044105772989864,2.0588235294117645,1.324390688274108,0.8124
football,BOSS-2014 (v.2),0.0,0.0,0.0,football,0.9761904761904762,2,0.1623261801753929,Outdoor activity & sport item,0.9393939393939394,0.32984607020714635,,4.690476190476191,0.5625766175720355,1.9047619047619047,0.8781778199154231,4.21875,1.156590512196614,4.125,1.1845783243211963,4.264705882352941,0.8278787617802342,0.8084
mailbox02,BOSS-2014 (v.2),0.0,0.0,0.023809523809523808,mail box,1.0,1,0.0,Building infrastructure,0.7878787878787878,1.1363238110605183,,4.690476190476191,0.5174088932690606,2.0,0.9106416928094863,4.15625,1.2978735710582958,3.96875,1.307160799151623,3.0,1.1806521053804944,0.8059
saltshaker03a,BOSS-2014 (v.2),0.0,0.0,0.0,Salt shaker,0.8571428571428571,4,0.7704769453520163,Kitchen & utensil,0.6363636363636364,1.0961391592565066,,4.761904761904762,0.576343554789591,1.7380952380952381,0.7981540840764962,4.1875,0.895778630487862,3.4375,1.50134348437142,3.588235294117647,1.1313078261483285,0.805
fridge,BOSS-2014 (v.2),0.0,0.0,0.0,Fridge,0.7142857142857143,4,1.1605068779874184,Kitchen & utensil,0.6363636363636364,1.3019762161101502,,4.880952380952381,0.4527628438808461,1.7619047619047619,0.7261500150568166,4.21875,1.0993949949125246,4.15625,1.0506334494776426,3.323529411764706,1.1990043403589679,0.8044
toothbrush03b,BOSS-2010 (v.1),0.0,0.0,0.0,toothbrush,1.0,1,0.0,Skincare & bathroom item,0.9393939393939394,0.39045213081320695,,4.6923076923076925,0.6550952583944178,2.230769230769231,1.0120728718702565,4.21875,0.9749896608219378,3.8125,1.1482806221027917,4.28125,1.2504031607910022,0.7967
cloud,BOSS-2014 (v.2),0.0,0.0,0.0,cloud,0.9523809523809523,2,0.2761954276479391,Natural element,0.96875,0.2006223243127146,,4.738095238095238,0.5868279263112158,2.119047619047619,1.291669008277822,4.0625,1.0757592967370206,4.15625,1.1670026397957816,2.2058823529411766,1.4308169263217574,0.7946
golfball,BOSS-2014 (v.2),0.0,0.0,0.0,golf ball,0.9761904761904762,2,0.1623261801753929,Outdoor activity & sport item,0.9090909090909091,0.5229784263810124,,4.571428571428571,0.9144599137184257,1.6428571428571428,0.905846284580998,4.375,1.157026221578126,4.28125,1.1425600852415145,3.676470588235294,1.3193338134187065,0.7905
schoolbus,BOSS-2014 (v.2),0.0,0.0,0.0,school bus,0.9761904761904762,2,0.1623261801753929,Vehicle,0.9375,0.3997900666170139,Vehicle,4.761904761904762,0.5323451937818394,2.6904761904761907,1.3157228420074858,4.25,1.0776318121606494,3.75,1.270001270001905,2.235294117647059,1.207522470571064,0.7891
escalator,BOSS-2014 (v.2),0.0,0.0,0.0,Escalator,0.9047619047619048,4,0.5965734820440876,Building infrastructure,0.875,0.6449742087569879,,4.809523809523809,0.4546826949399071,2.642857142857143,1.3033059010750332,4.28125,1.1704527659924406,4.21875,1.1283552117444966,3.0,1.3026778945578592,0.7891
pooltable,BOSS-2014 (v.2),0.0,0.0,0.0,Pool table,0.975609756097561,2,0.16542703399626696,Gamestoy & entertainment,0.8484848484848485,0.7230020642792743,,4.658536585365853,0.6931722764782572,1.975609756097561,0.8511111818689958,4.15625,1.1390254748064526,3.46875,1.3908543440819434,3.764705882352941,1.1562432251572008,0.7875
computermouse06,BOSS-2010 (v.1),0.0,0.0,0.0,mouse,0.8461538461538461,2,0.6193821946787638,Electronic device & accessory,0.96875,0.2006223243127146,,4.769230769230769,0.5361430711223919,2.58974358974359,1.29203936549832,4.666666666666667,0.5400617248673227,3.909090909090909,1.3547056037114755,3.1875,1.490561704039248,0.785
plate01b,BOSS-2010 (v.1),0.0,0.0,0.0,plate,0.918918918918919,3,0.4804334574529622,Kitchen & utensil,1.0,0.0,,4.641025641025641,0.7429379618209792,1.7179487179487178,0.9444775205237174,4.242424242424242,0.9024377759125212,3.8484848484848486,1.2777228798044424,2.3636363636363638,1.365150674334655,0.7844
hockeystick,BOSS-2014 (v.2),0.0,0.0,0.0,hockey stick,0.9285714285714286,4,0.48444393383524387,Outdoor activity & sport item,0.9393939393939394,0.32984607020714635,,4.619047619047619,0.7309326135027757,1.5476190476190477,0.8025076841021356,4.125,1.0080322575483707,4.0625,1.2164862143392416,4.176470588235294,0.9683033657896916,0.7816
shovel01,BOSS-2014 (v.2),0.0,0.0,0.023809523809523808,shovel,0.8292682926829268,5,0.9435584289470709,Hand labour tool & accessory,0.875,0.6449742087569879,Tool,4.714285714285714,0.6357524554958394,1.5238095238095237,0.8035923987456073,4.0,1.016001016001524,3.9375,1.293594641599212,3.9705882352941178,1.3367825261730648,0.7782
showerhead01,BOSS-2014 (v.2),0.0,0.0,0.023809523809523808,shower head,0.8780487804878049,4,0.7205446862784921,Skincare & bathroom item,0.5757575757575758,1.7619619002716371,,4.785714285714286,0.5646373446828084,2.2857142857142856,1.06578070058627,4.03125,1.2044105772989864,3.8125,1.4241579289010096,3.5294117647058822,1.2609590894679905,0.7762
pants,BOSS-2010 (v.1),0.0,0.0,0.0,pants,0.7948717948717948,5,1.1229670105505407,Clothing,0.9696969696969697,0.19590927087360496,,4.717948717948718,0.6047495327000634,1.564102564102564,0.7179969137476478,4.090909090909091,1.100103300934632,3.7419354838709675,1.1537689524765886,3.806451612903226,1.2759141778533976,0.7723
spiderweb,BOSS-2014 (v.2),0.0,0.0,0.0,spider web,0.9285714285714286,3,0.4368248862161963,Natural element,0.6060606060606061,1.6977710315479306,,4.738095238095238,0.5868279263112158,2.7142857142857144,1.5026109680334279,4.375,1.0080322575483707,4.0625,1.2427207404359506,2.3823529411764706,1.3929412065809121,0.772
pen04b,BOSS-2010 (v.1),0.0,0.0,0.0,pen,0.8974358974358975,4,0.6309174600654835,Stationary & school supply,0.96875,0.2006223243127146,,4.769230769230769,0.5361430711223919,2.1315789473684212,1.0697575535272428,3.8125,1.3060035073805594,3.6129032258064515,1.3826886695815686,3.96875,1.1773226871497122,0.7705
stool01,BOSS-2014 (v.2),0.0,0.0,0.0,Stool,0.8809523809523809,5,0.7554180292484949,Furniture,0.9696969696969697,0.19590927087360496,,4.666666666666667,0.6502032202644626,1.8095238095238095,0.916996561902623,4.15625,1.1103435969220548,3.0,1.344043010064494,3.1176470588235294,1.200118829529429,0.7702
skateboard,BOSS-2014 (v.2),0.0,0.0,0.023809523809523808,skateboard,1.0,1,0.0,Outdoor activity & sport item,0.7096774193548387,1.1357395969510382,,4.523809523809524,0.833391403319351,1.880952380952381,0.8025076841021356,4.4375,0.759350316537635,3.59375,1.316382506426535,4.205882352941177,0.9464258687999225,0.7699
curtain,BOSS-2014 (v.2),0.0,0.0,0.0,curtain,0.8571428571428571,5,0.8657150405901116,Decoration & gift accessory,0.42424242424242425,1.7737226226342973,,4.761904761904762,0.6555401351231352,1.8571428571428572,0.9258200997725514,3.7666666666666666,1.4781939897267773,3.96875,1.2822453843966262,2.7941176470588234,1.2739680735428252,0.7685
recyclingbin,BOSS-2014 (v.2),0.0,0.0,0.0,Recycling bin,0.7857142857142857,4,1.0119654955607627,Household article & cleaner,0.65625,1.5703612224162216,,4.761904761904762,0.6172133998483671,1.5714285714285714,0.7034013926370656,3.84375,1.4392958627902608,3.5625,1.4797013648139472,2.323529411764706,1.2961618921353482,0.7683
chair,BOSS-2014 (v.2),0.0,0.0,0.0,chair,0.8809523809523809,5,0.7554180292484949,Furniture,1.0,0.0,,4.833333333333333,0.4897319658486514,1.6428571428571428,0.6921662203943878,3.0,1.3678332288460768,3.8125,1.2556324713967086,3.7058823529411766,1.2680075462137053,0.7631
cd,BOSS-2010 (v.1),0.0,0.0,0.0,cd,0.9230769230769231,4,0.5131637559924214,Electronic device & accessory,0.875,0.6449742087569879,,4.7105263157894735,0.653799487273454,2.6578947368421053,1.3411635889793543,4.34375,1.0351678997366376,4.15625,1.1670026397957816,2.5,1.545023227719748,0.7611
jeans01,BOSS-2014 (v.2),0.0,0.0,0.0,jeans,0.8809523809523809,5,0.7554180292484949,Clothing,0.9696969696969697,0.19590927087360496,,4.666666666666667,0.7543909404658247,1.8571428571428572,1.0257995946394058,4.0625,1.3182955760399302,4.0,1.5026857675938214,3.5588235294117645,1.1855487534059141,0.7608
ladybug03,BOSS-2014 (v.2),0.0,0.0,0.0,Ladybug,0.9285714285714286,4,0.48444393383524387,Insect,0.9696969696969697,0.19590927087360496,Animal,4.690476190476191,0.6043781419307537,2.7857142857142856,1.4903873172436406,4.53125,0.802591568487018,3.4375,1.4354385639823608,1.5294117647058822,0.8251829592405758,0.7605
key01,BOSS-2010 (v.1),0.0,0.0,0.0,key,0.9743589743589743,2,0.17203694935311384,Household article & cleaner,0.5757575757575758,2.234981308587904,,4.589743589743589,0.7853242279784403,2.41025641025641,1.2506408613597126,4.515151515151516,0.7953463129830664,3.606060606060606,1.367922556730505,3.84375,1.2210353882483664,0.7593
snowman,BOSS-2014 (v.2),0.0,0.0,0.0,snowman,1.0,1,0.0,Outdoor activity & sport item,0.40625,1.9839972408624718,,4.619047619047619,0.5823577373595082,2.261904761904762,1.127473406955306,4.09375,1.2276222756258959,4.21875,1.1283552117444966,3.264705882352941,1.355322247925535,0.7585
rubikcube,BOSS-2014 (v.2),0.0,0.0,0.04878048780487805,Rubik cube,0.9487179487179487,3,0.3431003078809371,Gamestoy & entertainment,1.0,0.0,,4.682926829268292,0.649577723996286,2.8292682926829267,1.3583526608430936,4.483870967741935,0.8896054459491386,4.258064516129032,1.2101719419290202,3.911764705882353,1.2878840306069237,0.7582
fork03c,BOSS-2010 (v.1),0.0,0.0,0.0,fork,0.972972972972973,2,0.1792560669283214,Kitchen & utensil,0.96875,0.2006223243127146,,4.615384615384615,0.7113879915305912,2.1538461538461537,1.0140710433552769,4.090909090909091,1.100103300934632,4.0606060606060606,1.1439895634192303,3.4545454545454546,1.5225576567676569,0.7549
bed,BOSS-2014 (v.2),0.0,0.0,0.0,bed,0.8095238095238095,5,0.9974751114228471,Furniture,0.9393939393939394,0.39045213081320695,,4.804878048780488,0.45932081354549886,1.975609756097561,1.0365279754557708,3.625,1.4312187452567107,3.625,1.5397947077242096,3.735294117647059,1.2137800591892922,0.7522
cross01,BOSS-2014 (v.2),0.0,0.0,0.0,cross,0.8809523809523809,5,0.7554180292484949,Decoration & gift accessory,0.5,1.7483203810934291,,4.5476190476190474,0.802507684102136,1.380952380952381,0.6608339503023747,4.15625,1.0506334494776426,3.9375,1.3182955760399302,2.911764705882353,1.5248973548927818,0.7517
tshirt,BOSS-2010 (v.1),0.0,0.0,0.0,T-shirt,0.8205128205128205,2,0.6789538995185758,Clothing,1.0,0.0,,4.641025641025641,0.7429379618209792,1.6666666666666667,0.8056815791722831,4.151515151515151,0.9721500694726909,3.515151515151515,1.4603341253205575,2.878787878787879,1.408846508619191,0.7495
bowlingpin,BOSS-2014 (v.2),0.0,0.023809523809523808,0.0,bowling pin,1.0,1,0.0,Gamestoy & entertainment,0.5454545454545454,0.9940302114769566,,4.463414634146342,0.977178616620569,1.6097560975609757,0.8024353176576852,4.1875,1.2556324713967086,4.15625,1.1943246168117698,3.5,1.212310591266516,0.7465
drumstick,BOSS-2014 (v.2),0.0,0.023809523809523808,0.0,drum sticks,0.9512195121951219,3,0.32997428423692066,Musical instrument,0.9090909090909091,0.5835844869870731,Musical instrument,4.5476190476190474,0.7392277101362054,1.5714285714285714,0.8594625984812565,3.90625,1.4223872482101938,3.875,1.4312187452567107,3.9705882352941178,1.086704613140588,0.7454
calendar,BOSS-2014 (v.2),0.0,0.0,0.0,calendar,0.8571428571428571,5,0.8477415286338384,Stationary & school supply,0.8787878787878788,0.6311718053929063,,4.738095238095238,0.6647766472346015,1.9761904761904763,1.0473682521046936,3.59375,1.24069114453559,4.125,1.2889105176778741,2.4411764705882355,1.1855487534059141,0.7402
mug05,BOSS-2014 (v.2),0.0,0.0,0.0,Mug,0.5,4,1.720583272078973,Kitchen & utensil,0.8787878787878788,0.7146532448524052,,4.880952380952381,0.3277700675615687,1.380952380952381,0.6967653820886335,,,,,3.823529411764706,1.1669849323971873,0.7352
cow,BOSS-2014 (v.2),0.0,0.0,0.0,cow,0.9285714285714286,2,0.3712323266408756,Mammal,1.0,0.0,Animal,4.714285714285714,0.5537329763155099,2.9047619047619047,1.393530764177267,4.125,0.9755064854862865,3.9375,1.2164862143392416,2.911764705882353,1.602415734253519,0.7339
tire,BOSS-2014 (v.2),0.0,0.0,0.023809523809523808,tire,0.7804878048780488,5,1.1440181631019015,Vehicle,0.625,1.5487949406953985,,4.619047619047619,0.6608339503023752,1.5952380952380953,0.7344991261521245,4.15625,0.9540871333712221,3.875,1.237844119635477,2.5588235294117645,1.4183040762695858,0.733
table01,BOSS-2014 (v.2),0.0,0.0,0.0,table,0.8095238095238095,6,1.0834189322427712,Furniture,1.0,0.0,,4.785714285714286,0.41529973223663225,1.7142857142857142,0.9182622582426504,3.1875,1.6350495701275216,3.9375,1.189673308368798,2.8823529411764706,1.273618226474978,0.7307
bathtub,BOSS-2014 (v.2),0.0,0.0,0.0,bathtub,0.8333333333333334,3,0.7938758497427927,Skincare & bathroom item,0.53125,1.7259037244874984,,4.785714285714286,0.4703768227715907,2.261904761904762,1.0135550524599122,3.53125,1.2439369084716734,3.625,1.3619246343602935,3.323529411764706,1.147344450018181,0.7285
ladder,BOSS-2014 (v.2),0.0,0.0,0.0,ladder,0.9523809523809523,3,0.3238144752669867,Hand labour tool & accessory,0.8125,0.8683927290103627,,4.595238095238095,0.7669872581230487,1.9285714285714286,0.9211037160652045,3.65625,1.2600403219354632,4.0,1.2181424250644648,4.117647058823529,1.1485090699593823,0.7244
paperclip03,BOSS-2010 (v.1),0.0,0.02564102564102564,0.10256410256410256,paper clip,0.7941176470588235,6,1.1938757071793495,Stationary & school supply,0.84375,0.8630636700495733,,4.538461538461538,0.8536655898367089,1.9743589743589745,0.9864124120740053,4.7272727272727275,0.6261353324525404,4.0,1.1989578808281798,2.03125,1.4915758066879383,0.7233
ipad02,BOSS-2014 (v.2),0.0,0.0,0.0,Ipad,0.7857142857142857,5,1.1048258415105274,Electronic device & accessory,0.9393939393939394,0.39045213081320695,,4.595238095238095,0.627014754932928,1.7619047619047619,1.143582812587293,4.25,1.2181424250644648,3.4375,1.4577379737113252,3.411764705882353,1.1577838563870708,0.722
squirrel,BOSS-2014 (v.2),0.0,0.0,0.0,squirrel,1.0,1,0.0,Mammal,0.9696969696969697,0.19590927087360496,Animal,4.690476190476191,0.7152722571568846,2.880952380952381,1.434800588717623,3.71875,1.3733494492216536,3.375,1.5811388300841898,1.9411764705882353,1.1791413535072044,0.7213
paperairplane,BOSS-2014 (v.2),0.0,0.0,0.0,paper airplane,0.6904761904761905,3,1.0843365498332875,Gamestoy & entertainment,0.5151515151515151,1.4809824636890603,,4.714285714285714,0.596154926897456,1.7619047619047619,0.9578819065031136,4.03125,1.2309025013143549,3.65625,1.310241913147241,3.7941176470588234,1.365803388057981,0.7209
stubbywrench01a,BOSS-2014 (v.2),0.0,0.04878048780487805,0.12195121951219512,wrench,1.0,1,0.0,Hand labour tool & accessory,1.0,0.0,Tool,4.414634146341464,0.8359309109040526,1.6585365853658536,0.9113110362977334,4.125,1.237844119635477,3.59375,1.3406636536648797,3.323529411764706,1.2725681082039677,0.7208
tie02,BOSS-2014 (v.2),0.0,0.0,0.0,tie,0.7857142857142857,2,0.7495952572594798,Clothing,1.0,0.0,,4.642857142857143,0.850292017885292,1.5238095238095237,0.7404051375510322,3.75,1.344043010064494,4.375,1.0701220913160239,4.205882352941177,1.0948754395656117,0.7199
